year,gdp_smooth
1163,121890739.45367393
1164,122077582.55020578
1165,122264712.05358754
1166,122452128.40284473
1167,122639832.03767581
1168,122827823.39845327
1169,123016102.92622457
1170,123204671.06271333
1171,123393528.25032021
1172,123582674.93212406
1173,123772111.55188288
1174,123961838.55403489
1175,124151856.38369964
1176,124342165.48667888
1177,124532766.30945785
1178,124723659.29920611
1179,124914844.90377867
1180,125106323.57171707
1181,125298095.75225045
1182,125490161.89529647
1183,125682522.45146254
1184,125875177.87204672
1185,126068128.60903893
1186,126261375.11512187
1187,126454917.84367217
1188,126648757.24876145
1189,126842893.78515732
1190,127037327.90832454
1191,127232060.07442601
1192,127427090.74032384
1193,127622420.36358057
1194,127818049.40245995
1195,128013978.31592834
1196,128210207.56365554
1197,128406737.60601605
1198,128603568.90409
1199,128800701.91966432
1200,128998137.11523381
1201,129195874.9540022
1202,129393915.89988326
1203,129592260.41750188
1204,129790908.97219518
1205,129989862.03001353
1206,130189120.05772176
1207,130388683.52280015
1208,130588552.89344558
1209,130788728.6385726
1210,130989211.2278146
1211,131190001.1315248
1212,131391098.82077746
1213,131592504.76736888
1214,131794219.44381861
1215,131996243.32337053
1216,132198576.87999384
1217,132401220.58838442
1218,132604174.92396568
1219,132807440.36288987
1220,133011017.38203907
1221,133214906.45902638
1222,133419108.07219705
1223,133623622.70062952
1224,133828450.82413661
1225,134033592.92326668
1226,134239049.47930464
1227,134444820.9742732
1228,134650907.89093393
1229,134857310.71278843
1230,135064029.9240794
1231,135271066.00979185
1232,135478419.45565423
1233,135686090.74813953
1234,135894080.37446648
1235,136102388.82260057
1236,136311016.58125538
1237,136519964.13989353
1238,136729231.98872802
1239,136938820.61872318
1240,137148730.52159604
1241,137358962.1898173
1242,137569516.11661252
1243,137780392.79596344
1244,137991592.72260883
1245,138203116.39204603
1246,138414964.30053177
1247,138627136.94508353
1248,138839634.8234807
1249,139052458.43426558
1250,139265608.27674478
1251,139479084.85099027
1252,139692888.65784052
1253,139907020.19890177
1254,140121479.97654915
1255,140336268.4939278
1256,140551386.25495422
1257,140766833.76431733
1258,140982611.5274796
1259,141198720.05067837
1260,141415159.840927
1261,141631931.40601596
1262,141849035.25451416
1263,142066471.89577013
1264,142284241.83991298
1265,142502345.597854
1266,142720783.68128753
1267,142939556.60269225
1268,143158664.87533247
1269,143378109.0132593
1270,143597889.5313117
1271,143818006.9451179
1272,144038461.77109653
1273,144259254.52645776
1274,144480385.72920468
1275,144701855.8981343
1276,144923665.55283892
1277,145145815.21370742
1278,145368305.4019261
1279,145591136.63948053
1280,145814309.4491561
1281,146037824.35453978
1282,146261681.88002098
1283,146485882.5507931
1284,146710426.8928544
1285,146935315.43300954
1286,147160548.69887078
1287,147386127.2188589
1288,147612051.52220497
1289,147838322.13895112
1290,148064939.59995204
1291,148291904.43687612
1292,148519217.18220666
1293,148746878.36924344
1294,148974888.53210342
1295,149203248.2057225
1296,149431957.9258564
1297,149661018.22908226
1298,149890429.65279964
1299,150120192.7352319
1300,150350308.01542732
1301,150580776.03326052
1302,150811597.32943392
1303,151042772.44547832
1304,151274301.92375502
1305,151506186.30745643
1306,151738426.1406078
1307,151971021.96806815
1308,152203974.33553174
1309,152437283.78952938
1310,152670950.87742957
1311,152904976.14743987
1312,153139360.14860815
1313,153374103.430824
1314,153609206.5448198
1315,153844670.04217222
1316,154080494.4753034
1317,154316680.3974822
1318,154553228.36282575
1319,154790138.92630032
1320,155027412.6437231
1321,155265050.0717632
1322,155503051.76794297
1323,155741418.29063943
1324,155980150.1990856
1325,156219248.05337152
1326,156458712.41444597
1327,156698543.84411755
1328,156938742.905056
1329,157179310.1607936
1330,157420246.1757264
1331,157661551.51511568
1332,157903226.74508914
1333,158145272.43264222
1334,158387689.14563966
1335,158630477.45281655
1336,158873637.92377976
1337,159117171.12900937
1338,159361077.63985988
1339,159605358.02856162
1340,159850012.86822203
1341,160095042.73282722
1342,160340448.1972429
1343,160586229.83721614
1344,160832388.22937655
1345,161078923.95123762
1346,161325837.58119804
1347,161573129.69854316
1348,161820800.88344637
1349,162068851.7169703
1350,162317282.7810682
1351,162566094.65858558
1352,162815287.93326125
1353,163064863.18972883
1354,163314821.01351812
1355,163565161.99105653
1356,163815886.70967025
1357,164066995.7575859
1358,164318489.7239317
1359,164570369.1987389
1360,164822634.77294332
1361,165075287.0383865
1362,165328326.58781728
1363,165581754.01489294
1364,165835569.91418096
1365,166089774.88116014
1366,166344369.5122221
1367,166599354.40467256
1368,166854730.15673295
1369,167110497.36754158
1370,167366656.63715526
1371,167623208.56655064
1372,167880153.7576255
1373,168137492.81320024
1374,168395226.3370194
1375,168653354.93375295
1376,168911879.2089977
1377,169170799.7692788
1378,169430117.2220511
1379,169689832.17570063
1380,169949945.23954606
1381,170210457.02383995
1382,170471368.1397703
1383,170732679.1994621
1384,170994390.81597853
1385,171256503.60332263
1386,171519018.17643854
1387,171781935.15121305
1388,172045255.14447707
1389,172308978.774007
1390,172573106.65852612
1391,172837639.41770637
1392,173102577.67216936
1393,173367922.04348812
1394,173633673.15418842
1395,173899831.6277504
1396,174166398.08860976
1397,174433373.16215947
1398,174700757.47475114
1399,174968551.6536965
1400,175236756.3272689
1401,175505372.12470466
